Character,#,Text,Char ID,Skill ID,Name,Skill Type,Cost,Target,Damage Type,Damage,Inflict,Accuracy,Effect,Self
Lycan,1,"Razorbolt: Knife Throw
[ATK] Cost 2 SP
One Enemy : [Blade 1]
This Skill has +4 ACC.",089,894,"Razorbolt: Knife Throw",ATK,2 SP,One Enemy,Blade,1,,,,
Lycan,2,"Razorbolt: Fierce Slash
[ATK] Cost 4 SP
One Enemy : [Blade 4]
This Skill has +2 ACC.",089,895,"Razorbolt: Fierce Slash",ATK,4 SP,One Enemy,Blade,4,,,,
Lycan,3,"Razorbolt: King of Anything
[ATK] Cost 5 SP
Self : [+2 ATK,EVA]
Two Enemies : [Blade 1] ",089,896,"Razorbolt: King of Anything",ATK,5 SP,Self,Blade,1,,,,
Simin,1,"Kore Kosmou: Ice Sword
[ATK] Cost 4 SP
Two Enemies : [Cold 3]
Self : [+2 SPD,EVA] ",090,904,Kore Kosmou: Ice Sword,ATK,4 SP,Two Enemies,Cold,3,,,,
Simin,2,"Kore Kosmou: Ice Shield
[ATK] Cost 3 SP
One Enemy : [Cold 2]
Self : [+2 DEF,RES]  ",090,905,Kore Kosmou: Ice Shield,ATK,3 SP,One Enemy,Cold,2,,,,
Simin,3,"Kore Kosmou: Fire Greatsword
[ATK] Cost 5 SP
One Enemy : [Fire 5] {50% Burn 2}
Self : [+2 ATK,MAG]",090,906,Kore Kosmou: Fire Greatsword,ATK,5 SP,One Enemy,Fire,5,,,,
Simin,4,"Kore Kosmou: Wind Lance
[MAG] Cost 6 SP
All Enemies : [Wind 5] 
This Skill has -1 ACC.",090,907,"Kore Kosmou: Wind Lance",MAG,6 SP,All Enemies,Wind,5,,,,
Alfonse,1,"Scorching Slash
[ATK] Cost 5 SP 
One Enemy : [Blade 4] {30% Burn 5}",091,914,"Scorching Slash",ATK,5 SP,One Enemy,Blade,4,,,,
Alfonse,2,"Sirocco Gust
[ATK] Cost 4 SP
One Enemy : [Wind 2]  {10% Burn 3}
If hit, opponent swaps target with a character in their Back.",091,915,"Sirocco Gust",ATK,4 SP,One Enemy,Wind,2,,,,
Alfonse,3,"Blast of Speed
[SUP] Cost 2 SP
Swap with any ally.
You may use this skill after using a different skill.",091,916,"Blast of Speed",SUP,2 SP,#N/A,,,,,,
Mystia,1,"Ill-Starred Dive
[ATK] Cost 2 SP
One Enemy : [Wind 2]
This skill has +4 ACC.",092,924,"Ill-Starred Dive",ATK,2 SP,One Enemy,Wind,2,,,,
Mystia,2,"Poisonous Moth's Dark Dance 
[ATK] Cost 6 SP
All Enemies : [Nature 3] {80%  Poison 3, Paralysis 1}
This Skill has -1 ACC. ",092,925,"Poisonous Moth's Dark Dance ",ATK,6 SP,All Enemies,Nature,3,,,,
Mystia,3,"Midnight Chorus Master
[ATK] Cost 5 SP
All Enemies : [Wind 2] [Silence 4]
This Skill has -1 ACC. ",092,926,"Midnight Chorus Master",ATK,5 SP,All Enemies,Wind,2,,,,
Mystia,4,"Mysterious Song
[SUP] Cost 4 SP
All Allies : Remove Silence. If Silence was removed, recover max HP and [Cure 0].",092,927,"Mysterious Song",SUP,4 SP,All Allies,,,,,,
Primrose,1,"Lions Dance
[SUP] Cost 4 SP
One Ally : [+3 ATK] ",093,934,"Lions Dance",SUP,4 SP,One Ally,,,,,,
Primrose,2,"Peacock Strut
[SUP] Cost 4 SP
One Ally : [+3 MAG]  ",093,935,"Peacock Strut",SUP,4 SP,One Ally,,,,,,
Primrose,3,"Moonlight Waltz	
[MAG] Cost 3 SP
One Enemy : [Dark 4]",093,936,"Moonlight Waltz	",MAG,3 SP,One Enemy,Dark,4,,,,
Primrose,4,"Encore
[SUP] Cost 8 SP
Any Ally : Revive KO'ed Ally with 1 HP and max SP.  ",093,937,"Encore",SUP,8 SP,Any Ally,,,,,,
Ragora,1,"Hexentanz: Shotgun
[ATK] Cost 3 SP
Two Enemies : [Impact 2]",094,944,"Hexentanz: Shotgun",ATK,3 SP,Two Enemies,Impact,2,,,,
Ragora,2,"Hexentanz: Glaive
[ATK] Cost 4 SP
One Enemy : [Impact 5]",094,945,"Hexentanz: Glaive",ATK,4 SP,One Enemy,Impact,5,,,,
Ragora,3,"Familiar: Restrain
[SUP] Cost 1 SP
One Enemy : [-2 EVA] ",094,946,"Familiar: Restrain",SUP,1 SP,One Enemy,,,,,,
Ragora,4,"Familiar: Drawing Down the Moon
[SUP] Cost 2 SP
Self : [Crit 2]  
Ragora's Skills are Reversed this turn.",094,947,"Familiar: Drawing Down the Moon",SUP,2 SP,Self,,,,,,
Apollo,1,"Mine Valley
[SUP] Cost 6 SP
All Enemies : [Trap 4] [Burn 1]",095,954,"Mine Valley",SUP,6 SP,All Enemies,,,,,,
Apollo,2,"Frozen Stance
[SUP] Cost 3 SP
Self : [Thorns 4] [Steady 2]",095,955,"Frozen Stance",SUP,3 SP,Self,,,,,,
Apollo,3,"Song of Storms
[MAG] Cost 8 SP
One Enemy : [Electric 3]
This Skill has Adept 3.",095,956,"Song of Storms",MAG,8 SP,One Enemy,Electric,3,,,,
Apollo,4,"Ki Thrust
[MAG] Cost 3 SP
One Enemy : [Wave 1] [Mark 3]
If hit, opponent swaps target with a character in their Back.",095,957,"Ki Thrust",MAG,3 SP,One Enemy,Wave,1,,,,
Lea,1,"Flame Jab
[ATK] Cost 3 SP
One Enemy : [Fire 2] {50% Burn 4}",096,964,"Flame Jab",ATK,3 SP,One Enemy,Fire,2,,,,
Lea,2,"Indigo Rush
[ATK] Cost 5 SP
All Enemies : [Cold 3]
All Allies : [Thorns 2] 
This Skill has -1 ACC. ",096,965,"Indigo Rush",ATK,5 SP,All Enemies,Cold,3,,,,
Lea,3,"Glitch Time
[SUP] Cost 4 SP
Self : [+3 EVA] [Scope 2, Precision 1]",096,966,"Glitch Time",SUP,4 SP,Self,,,,,,
Lea,4,"Ether Snipe
[MAG] Cost 8 SP
One Enemy : [Wave 8] [Mark 2]
This skill has Scope.
This skill deals +8 damage if target is Marked.",096,967,"Ether Snipe",MAG,8 SP,One Enemy,Wave,8,,,,
Shizuka,1,"Ragnarök
[ATK] Cost 9 SP
All Enemies : [Fire 5] [Burn 3] 
This Skill has -1 ACC. ",097,974,"Ragnarök",ATK,9 SP,All Enemies,Fire,5,,,,
Shizuka,2,"Hail Flurry
[ATK] Cost 2 SP
One Enemy : [Cold 2] [-2 SPD,EVA]",097,975,"Hail Flurry",ATK,2 SP,One Enemy,Cold,2,,,,
Shizuka,3,"Tesla Waltz
[MAG] Cost 6 SP
All Enemies : [Electric 4] [Paralysis 1]
This Skill has -1 ACC. ",097,976,"Tesla Waltz",MAG,6 SP,All Enemies,Electric,4,,,,
Shizuka,4,"Circle of Valor 
[SUP] Cost 5 SP
All Allies : [Shield 4] [Taunt 2]",097,977,"Circle of Valor ",SUP,5 SP,All Allies,,,,,,
Kasen,1,"Higekiri's Cursed Arm
[ATK] Cost 7 SP
One Enemy : [Dark 4] [-1 ATK,SPD] [Terror 3]
This skill +2 ACC.   ",098,984,"Higekiri's Cursed Arm",ATK,7 SP,One Enemy,Dark,4,,,,
Kasen,2,"Echo of the Nine Forest Gods
[ATK] Cost 5 SP 
All Enemies : [Nature 3]
This skill has +1 ACC.  ",098,985,"Echo of the Nine Forest Gods",ATK,5 SP,All Enemies,Nature,3,,,,
Kasen,3,"Diving Waltz of the Raijuu
[ATK] Cost 4 SP
One Enemy : [Electric 3] [-2 RES] [Paralysis 1]",098,986,"Diving Waltz of the Raijuu",ATK,4 SP,One Enemy,Electric,3,,,,
Kasen,4,"Breath of the Hermit
[SUP] Cost 4 SP 
Self : [+2 SPD,EVA] [Regenerate 3]",098,987,"Breath of the Hermit",SUP,4 SP,Self,,,,,,
Mima,1,"Escape Velocity
[ATK] Cost 4 SP
One Enemy : [Impact 6]  ",099,994,"Escape Velocity",ATK,4 SP,One Enemy,Impact,6,,,,
Mima,2,"Orreries Sun
[MAG] Cost 8 SP
All Enemies : [Astral 4]
Self : [Shield 6]  
This Skill has -1 ACC. ",099,995,"Orreries Sun",MAG,8 SP,All Enemies,Astral,4,,,,
Mima,3,"Evil Field
[SUP] Cost 8 SP
All Enemies : [Direct 2, Stubborn 2]  ",099,996,"Evil Field",SUP,8 SP,All Enemies,,,,,,
Mima,4,"Twilight Spark
[MAG] Cost 16 SP
All Enemies : [Mystic 14]
This Skill has -1 ACC. ",099,997,"Twilight Spark",MAG,16 SP,All Enemies,Mystic,14,,,,
Seija,1,"Overturning All Under Heaven
[SUP] Cost 3 SP
All Targets : [Reverse 3]",100,1004,"Overturning All Under Heaven",SUP,3 SP,All Targets,,,,,,
Seija,2,"Reverse Hierarchy
[SUP] Cost 4 SP
One Enemy and One Ally : They trade their current HP and SP with each other.",100,1005,"Reverse Hierarchy",SUP,4 SP,One Enemy and One Ally,,,,,,
Seija,3,"Reverse Needle Attack
[ATK] Cost 3 SP
All Enemies : [Pierce 2]  
This Skill's damage is reduced by the opposite defensive stat.
This Skill has -1 ACC. ",100,1006,"Reverse Needle Attack",ATK,3 SP,All Enemies,Pierce,2,,,,
Seija,4,"This Side Down
[SUP] Cost 1 SP
One Target : Change Stat Boosts into Stat Drops and vice versa.",100,1007,"This Side Down",SUP,1 SP,One Target,,,,,,
Papyrus,1,"NYEH HEH HEH!!!
[SUP] Cost 3 SP
Self : [+1 SPD] [Shield 3, Taunt 2]",101,1014,"NYEH HEH HEH!!!",SUP,3 SP,Self,,,,,,
Papyrus,2,"SILKEN SPAGHETTI, FINELY AGED IN AN OAKEN CASK...
[SUP] Cost 2 SP
One Other Ally : Recover 8 HP and lose 2 SP.",101,1015,"SILKEN SPAGHETTI, FINELY AGED IN AN OAKEN CASK...",SUP,2 SP,One Other Ally,,,,,,
Papyrus,3,"BLUE ATTACK!'
[ATK] Cost 4 SP
All Enemies : [Impact 4]
This Skill misses enemies with 4 SPD or lower.
This Skill has +1 ACC.",101,1016,"BLUE ATTACK!'",ATK,4 SP,All Enemies,Impact,4,,,,
Papyrus,4,"YOU'RE BLUE NOW.
[SUP] Cost 3 SP
One Enemy : [-5 EVA] ",101,1017,"YOU'RE BLUE NOW.",SUP,3 SP,One Enemy,,,,,,
Papyrus,5,"AN ABSOLUTELY NORMAL ATTACK...
[ATK] Cost 4 SP
One Enemy : [Impact 6] ",101,1018,"AN ABSOLUTELY NORMAL ATTACK...",ATK,4 SP,One Enemy,Impact,6,,,,
Hina,1,"Misfortune God's Biorhythm
[SUP] Cost 3 SP
All Targets : [-2 ATK,MAG,DEF,RES,SPD,EVA]",102,1024,"Misfortune God's Biorhythm",SUP,3 SP,All Targets,,,,,,
Hina,2,"Pain Flow
[MAG] Cost 5 SP
All Enemies : [Dark X] 
Self : [Cure 0]
This Skill has -1 ACC.
X = Sum of Hina's Stat Drops.",102,1025,"Pain Flow",MAG,5 SP,All Enemies,Dark,X,,,,
Hina,3,"Old Lady Ohgane's Fire 
[MAG] Cost 4 SP
Two Enemies : [Fire 2] [-1 ATK,MAG,DEF,RES,SPD]",102,1026,"Old Lady Ohgane's Fire ",MAG,4 SP,Two Enemies,Fire,2,,,,
Letty,1,"Cold Sign ""Lingering Cold""
[SUP] Cost 5 SP
All Enemies : [-2 EVA] [Freeze 1] ",103,1034,"Cold Sign ""Lingering Cold""",SUP,5 SP,All Enemies,,,,,,
Letty,2,"Cold Sign ""Cold Snap""
[ATK] Cost 2 SP
One Enemy : [Cold 2] {20% Shock 2, Death 2}  ",103,1035,"Cold Sign ""Cold Snap""",ATK,2 SP,One Enemy,Cold,2,,,,
Letty,3,"Winter Sign ""Northern Winner"" 
[MAG] Cost 4 SP
All Enemies : [Cold 4]
Self : [Sleep 1]
This Skill has -1 ACC.",103,1036,"Winter Sign ""Northern Winner"" ",MAG,4 SP,All Enemies,Cold,4,,,,
Nazrin,1,"Gold Rush
[MAG] Cost 3 SP
One Enemy : [Impact 3] 
If this skill KOs its target,
all allies recover 5 SP.  ",104,1044,"Gold Rush",MAG,3 SP,One Enemy,Impact,3,,,,
Nazrin,2,"Rare Metal Detector
[MAG] Cost 3 SP
One Enemy : [Wind 3]
If this skill KOs its target,
all allies gain [Shield 3, Crit 3]",104,1045,"Rare Metal Detector",MAG,3 SP,One Enemy,Wind,3,,,,
Nazrin,3,"Nazrin Pendulum
[MAG] Cost 3 SP
One Enemy : [Cold 3]
If this skill KOs its target,
all allies gain [+2 ATK,MAG,DEF,RES]",104,1046,"Nazrin Pendulum",MAG,3 SP,One Enemy,Cold,3,,,,
Orin,1,"Cat's Walk
[ATK] Cost 2 SP
One Enemy : [Impact 1] [Paralysis 1]",105,1054,"Cat's Walk",ATK,2 SP,One Enemy,Impact,1,,,,
Orin,2,"Vengeful Cannibal Spirit
[ATK] Cost 4 SP
One Enemy : [Dark 2] [Terror 4]",105,1055,"Vengeful Cannibal Spirit",ATK,4 SP,One Enemy,Dark,2,,,,
Orin,3,"Former Hell's Needle Hill 
[ATK] Cost 5 SP
Two Enemies : [Pierce 4] {50% -3 DEF}",105,1056,"Former Hell's Needle Hill ",ATK,5 SP,Two Enemies,Pierce,4,,,,
Orin,4,"Blazing Wheel 
[MAG] Cost 6 SP
All Enemies : [Fire 5]
This Skill has -1 ACC.",105,1057,"Blazing Wheel ",MAG,6 SP,All Enemies,Fire,5,,,,
Utsuho,1,"Giga Flare
[MAG] Cost 10 SP
All Enemies : [Mystic 4]
This Skill has Break and -2 ACC.",106,1064,"Giga Flare",MAG,10 SP,All Enemies,Mystic,4,,,,
Utsuho,2,"Intense Nuclear Reaction
[MAG] Cost 4 SP 
All Enemies : [Fire 3] 
Self : [-1 DEF,RES,SPD] [+2 MAG]
This Skill has -2 ACC.",106,1065,"Intense Nuclear Reaction",MAG,4 SP,All Enemies,Fire,3,,,,
Utsuho,3,"Hell's Tokamak 	
[MAG] Cost 4 SP
All Enemies : [Fire 3] [-1 RES] 
This Skill has -2 ACC.
",106,1066,"Hell's Tokamak 	",MAG,4 SP,All Enemies,Fire,3,,,,
Kurohebi,1,"Darkness Card ""Blind Shot""
[ATK] Cost 3 SP
One Enemy : [Blade 2] [-5 ACC]  ",107,1074,"Darkness Card ""Blind Shot""",ATK,3 SP,One Enemy,Blade,2,,,,
Kurohebi,2,"Slash Card ""Slit Dragon""
[ATK] Cost 6 SP
One Enemy : [Blade 6]
If Kurohebi is Invisible, This Skill deals +6 damage.",107,1075,"Slash Card ""Slit Dragon""",ATK,6 SP,One Enemy,Blade,6,,,,
Kurohebi,3,"Imperceptible
[SUP] Cost 5 SP
All Enemies : [-2 ACC]
Self : [Invisible 1]",107,1076,"Imperceptible",SUP,5 SP,All Enemies,,,,,,
Akshan,1,"Dirty Fighting 
[ATK] Cost 4 SP
One Enemy : [Pierce 4]
Self : [Break 2] or [+2 SPD]",108,1084,"Dirty Fighting ",ATK,4 SP,One Enemy,Pierce,4,,,,
Akshan,2,"Heroic Swing
[SUP] Cost 3 SP
Self : [+3 EVA] 
You may use Dirty Fighting after using this skill.",108,1085,"Heroic Swing",SUP,3 SP,Self,,,,,,
Akshan,3,"Comeuppance
[SUP] Cost 2 SP
Self : [Precision 1] [Crit 2]
You may use Heroic Swing after using this skill. ",108,1086,"Comeuppance",SUP,2 SP,Self,,,,,,
Aoji,1,"Current Wave ""Current Blast""
[MAG] Cost 2 SP
One Enemy : [Water 2] [-3 EVA]  ",109,1094,"Current Wave ""Current Blast""",MAG,2 SP,One Enemy,Water,2,,,,
Aoji,2,"Shitodo Card ""Blue Storm"" 
[MAG] Cost 4 SP
All Enemies : [Water 3]
This Skill has -1 ACC.     ",109,1095,"Shitodo Card ""Blue Storm"" ",MAG,4 SP,All Enemies,Water,3,,,,
Aoji,3,"Rotation Card ""Eastern Garbage Patch""
[SUP] Cost 7 SP
All Enemies : [Stuck 2]",109,1096,"Rotation Card ""Eastern Garbage Patch""",SUP,7 SP,All Enemies,,,,,,
Elice,1,"Aum
[SUP] Cost 10 SP
Any Ally : Revive KO'ed Ally with Max HP and SP.",110,1104,"Aum",SUP,10 SP,Any Ally,,,,,,
Elice,2,"Bolganone
[MAG] Cost 7 SP
One Enemy : [Fire 10]
This Skill has -3 ACC. ",110,1105,"Bolganone",MAG,7 SP,One Enemy,Fire,10,,,,
Elice,3,"Fortify
[SUP] Cost 8 SP
Every Other Ally : Recover 2 HP and SP.",110,1106,"Fortify",SUP,8 SP,Every Other Ally,,,,,,
Utsuho (BM),1,"Control Rod Crush
[ATK] Cost 5 SP 
One Enemy : [Impact 8]
This Skill has -2 ACC.",111,1114,Control Rod Crush,ATK,5 SP,One Enemy,Impact,8,,,,
Utsuho (BM),2,"Subterranean Sun
[MAG] Cost 9 SP
All Enemies : [Fire 7] [-3 EVA]
This Skill has -3 ACC. ",111,1115,Subterranean Sun,MAG,9 SP,All Enemies,Fire,7,,,,
Utsuho (BM),3,"Hell's Tokamak
[MAG] Cost 4 SP
One Enemy : [Fire 4]
This Skill has Break and -2 ACC.",111,1116,Hell's Tokamak,MAG,4 SP,One Enemy,Fire,4,,,,
Utsuho (BM),4,"Rocket Dive
[ATK] Cost 6 SP
All Enemies : [Impact 4]  
This Skill has -2 ACC.",111,1117,Rocket Dive,ATK,6 SP,All Enemies,Impact,4,,,,
Master Yi,1,"Alpha Strike
[ATK] Cost 4 SP
All Enemies : [Blade 1]
Self : [+3 EVA]
Master Yi may swap with any ally.
This Skill has -1 ACC. ",112,1124,"Alpha Strike",ATK,4 SP,All Enemies,Blade,1,,,,
Master Yi,2,"Meditate
[SUP] Cost 4 SP
Self: [+1 DEF,RES] [Regenerate 3]",112,1125,"Meditate",SUP,4 SP,Self,,,,,,
Master Yi,3,"Wuju Style
[ATK] Cost 3 SP
One Enemy : [Blade 5]",112,1126,"Wuju Style",ATK,3 SP,One Enemy,Blade,5,,,,
Master Yi,4,"Highlander
[SUP] Cost 3 SP
Self : [+2 ACC,SPD,ATK]  ",112,1127,"Highlander",SUP,3 SP,Self,,,,,,
Cyrus,1,"Analyze
[SUP] Cost 1 SP
One Enemy : [Reveal 2]  ",113,1134,"Analyze",SUP,1 SP,One Enemy,,,,,,
Cyrus,2,"Fire Storm 
[MAG] Cost 8 SP
All Enemies : [Fire 7] 
This Skill has -1 ACC. ",113,1135,"Fire Storm ",MAG,8 SP,All Enemies,Fire,7,,,,
Cyrus,3,"Blizzard
[MAG] Cost 8 SP
All Enemies : [Cold 7]  
This Skill has -1 ACC. ",113,1136,"Blizzard",MAG,8 SP,All Enemies,Cold,7,,,,
Cyrus,4,"Lightning Blast
[MAG] Cost 8 SP
All Enemies : [Electric 7]
This Skill has -1 ACC.",113,1137,"Lightning Blast",MAG,8 SP,All Enemies,Electric,7,,,,
Driller Mk 1,1,"CRSPR Flamethrower
[ATK] Cost 5 SP
All Enemies : [Fire 1] [Burn 3] 
This Skill has -1 ACC. ",114,1144,"CRSPR Flamethrower",ATK,5 SP,All Enemies,Fire,1,,,,
Driller Mk 1,2,"Subata 120
[ATK] Cost 2 SP
One Enemy : [Pierce 4] ",114,1145,"Subata 120",ATK,2 SP,One Enemy,Pierce,4,,,,
Driller Mk 1,3,"Reinforced Power Drills
[SUP] Cost 3 SP
All Allies : [+2 SPD]  ",114,1146,"Reinforced Power Drills",SUP,3 SP,All Allies,,,,,,
Driller Mk 1,4,"Satchel Charge
[ATK] Cost 4 SP
Two Enemies : [Impact 3]
This Skill has Break 2. ",114,1147,"Satchel Charge",ATK,4 SP,Two Enemies,Impact,3,,,,
Driller Mk 1,5,"Impact Axe 
[ATK] Cost 4 SP
One Enemy : [Impact 6]  ",114,1148,"Impact Axe ",ATK,4 SP,One Enemy,Impact,6,,,,
Engineer Mk 1,1,"""Warthog"" Auto 210
[ATK] Cost 5 SP
Two Enemies : [Pierce 3] {70% Shock 2}   ",115,1154,"""Warthog"" Auto 210",ATK,5 SP,Two Enemies,Pierce,3,,,,
Engineer Mk 1,2,"Deepcore 40mm PGL
[ATK] Cost 6 SP 
Two Enemies : [Impact 4] {50% Terror 3}",115,1155,"Deepcore 40mm PGL",ATK,6 SP,Two Enemies,Impact,4,,,,
Engineer Mk 1,3,"Platform Gun
[SUP] Cost 2 SP
All Allies : [Steady 2]  ",115,1156,Platform Gun,SUP,2 SP,All Allies,,,,,,
Engineer Mk 1,4,"LMG Gun Platform
[ATK] Cost 5 SP
One Enemy : [Pierce 5]
Self : Gain [Sentry] 
This Skill only costs 2 SP if Engineer has Sentry. ",115,1157,"LMG Gun Platform",ATK,5 SP,One Enemy,Pierce,5,,,,
Engineer Mk 1,5,"L.U.R.E. 
[SUP] Cost 2 SP
One Ally : [Taunt 3]",115,1158,"L.U.R.E. ",SUP,2 SP,One Ally,,,,,,
Gunner Mk 1,1,"""Lead Storm"" Powered Minigun
[ATK] Cost 2 SP
One Enemy : [Pierce 3 + X]
Self : Gain [+1 Rev].
X = Rev ",116,1164,"""Lead Storm"" Powered Minigun",ATK,2 SP,One Enemy,#N/A,,,,,
Gunner Mk 1,2,"""Bulldog"" Heavy Revolver
[ATK] Cost 4 SP
One Enemy : [Pierce 5] {30% Shock 2}",116,1165,"""Bulldog"" Heavy Revolver",ATK,4 SP,One Enemy,Pierce,5,,,,
Gunner Mk 1,3,"Zipline Launcher
[SUP] Cost 2 SP
One Ally : [Distance 3]",116,1166,"Zipline Launcher",SUP,2 SP,One Ally,,,,,,
Gunner Mk 1,4,"Shield Generator
[SUP] Cost 3 SP
All Allies : [Shield 2]  ",116,1167,"Shield Generator",SUP,3 SP,All Allies,,,,,,
Gunner Mk 1,5,"Sticky Grenade   
[ATK] Cost 4 SP 
Two Enemies : [Impact 3] {40% Terror 2}",116,1168,"Sticky Grenade   ",ATK,4 SP,Two Enemies,Impact,3,,,,
H'aanit,1,"True Strike
[ATK] Cost 7 SP
One Enemy : [Pierce 6]
This Skill has Precision. ",117,1174,"True Strike",ATK,7 SP,One Enemy,Pierce,6,,,,
H'aanit,2,"Thunderbird
[MAG] Cost 4 SP
One Enemy : [Electric 5]",117,1175,"Thunderbird",MAG,4 SP,One Enemy,Electric,5,,,,
H'aanit,3,"Leghold Trap
[SUP] Cost 2 SP
One Enemy : [Trap 3]  ",117,1176,"Leghold Trap",SUP,2 SP,One Enemy,,,,,,
H'aanit,4,"Take Aim 
[SUP] Cost 3 SP
All Allies : [Scope 1] [Crit 2]",117,1177,"Take Aim ",SUP,3 SP,All Allies,,,,,,
Meiling,1,"Brilliant Light Gem
[ATK] Cost 2 SP
One Enemy : [Spirit 3]",118,1184,"Brilliant Light Gem",ATK,2 SP,One Enemy,Spirit,3,,,,
Meiling,2,"Mountain Breaker
[ATK] Cost 3 SP
One Enemy : [Impact 5]
This Skill has Break 2.",118,1185,"Mountain Breaker",ATK,3 SP,One Enemy,Impact,5,,,,
Meiling,3,"Colourful Rain
[SUP] Cost 4 SP
Self : Recover 12 HP.",118,1186,"Colourful Rain",SUP,4 SP,Self,,,,,,
Meiling,4,"Healer
[SUP] Cost 1 SP
One Ally : Recover 3 HP.",118,1187,"Healer",SUP,1 SP,One Ally,,,,,,
Scout Mk 1,1,"Deepcore GK2
[ATK] Cost 5 SP
One Enemy : [Pierce 7]  ",119,1194,"Deepcore GK2",ATK,5 SP,One Enemy,Pierce,7,,,,
Scout Mk 1,2,"Jury-Rigged Boomstick
[ATK] Cost 4 SP
One Enemy : [Pierce 5] {70% Shock 1}  ",119,1195,"Jury-Rigged Boomstick",ATK,4 SP,One Enemy,Pierce,5,,,,
Scout Mk 1,3,"Grappling Hook
[SUP] Cost 2 SP
Swap with any Ally.
You may use this Skill after using a different Skill.  ",119,1196,"Grappling Hook",SUP,2 SP,#N/A,,,,,,
Scout Mk 1,4,"Flare Gun 
[SUP] Cost 3 SP
All Enemies : [Reveal 2]",119,1197,"Flare Gun ",SUP,3 SP,All Enemies,,,,,,
Scout Mk 1,5,"Inhibitor-Field Generator  
[SUP] Cost 3 SP
Two Enemies : [-1 DEF,EVA] [Heavy 1]",119,1198,"Inhibitor-Field Generator  ",SUP,3 SP,Two Enemies,,,,,,
Setsuna,1,"Iron Yumi
[ATK] Cost 3 SP
One Enemy : [Pierce 4] 
This Skill has Scope.  ",120,1204,"Iron Yumi",ATK,3 SP,One Enemy,Pierce,4,,,,
Setsuna,2,"Setsuna’s Yumi  
[ATK] Cost 4 SP
One Enemy : [Pierce 2] [-2 ACC,SPD,DEF]
This Skill has Scope and -2 ACC. ",120,1205,"Setsuna’s Yumi  ",ATK,4 SP,One Enemy,Pierce,2,,,,
Setsuna,3,"Bowbreaker
[ATK] Cost 8 SP
One Enemy: [Pierce 12] 
This Skill can only hit targets with Scope or with Skills that have Scope.",120,1206,"Bowbreaker",ATK,8 SP,One Enemy,Pierce,12,,,,
Tressa,1,"Donate BP
[SUP] Cost 6 SP
One Ally : [Crit 4]  ",121,1214,"Donate BP",SUP,6 SP,One Ally,,,,,,
Tressa,2,"Hired Help
[SUP] Cost 6 SP
Use Swap twice.  ",121,1215,"Hired Help",SUP,6 SP,#N/A,,,,,,
Tressa,3,"Bifelgan's Bounty
[MAG] Cost 12 SP
One Enemy : [Impact 8]
All Allies : Recover X SP.
X = damage dealt   ",121,1216,"Bifelgan's Bounty",MAG,12 SP,One Enemy,Impact,8,,,,
Tressa,4,"Rest
[SUP] Cost 0 SP
Self : Recover 6 SP and 2 HP.",121,1217,"Rest",SUP,0 SP,Self,,,,,,
Yuugi,1,"Supernatural Phenomenon
[ATK] Cost 2 SP
One Enemy : [Nature 6]
This Skill has -2 ACC.   ",122,1224,"Supernatural Phenomenon",ATK,2 SP,One Enemy,Nature,6,,,,
Yuugi,2,"Knockout in Three Steps
[ATK] Cost 6 SP
One Enemy : [Impact 12]
This Skill has Break and -5 ACC.  ",122,1225,"Knockout in Three Steps",ATK,6 SP,One Enemy,Impact,12,,,,
Yuugi,3,"Irremovable Shackles
[ATK] Cost 3 SP
One Enemy : [Spirit 1] [Heavy 2, Weaken 2]",122,1226,"Irremovable Shackles",ATK,3 SP,One Enemy,Spirit,1,,,,
Alice,1,"Artful Sacrifice
[MAG] Cost 5 SP
One Enemy : [Fire 5]
This Skill has +2 ACC. 
This Skill's damage is reduced by the opposite defensive stat.    ",123,1234,"Artful Sacrifice",MAG,5 SP,One Enemy,Fire,5,,,,
Alice,2,"Little Legion
[MAG] Cost 4 SP
All Enemies : [Pierce 3]
This Skill has -1 ACC.
This Skill's damage is reduced by the opposite defensive stat.",123,1235,"Little Legion",MAG,4 SP,All Enemies,Pierce,3,,,,
Alice,3,"Hanged Hourai Doll
[MAG] Cost 6 SP 
Two Enemies : [Mystic 6] ",123,1236,"Hanged Hourai Doll",MAG,6 SP,Two Enemies,Mystic,6,,,,
Alice,4,"Trip Wire  
[MAG] Cost 5 SP
All Enemies : [Impact 1] [-2 SPD] [Heavy 2,Stuck 1] 
This Skill has -1 ACC.",123,1237,"Trip Wire  ",MAG,5 SP,All Enemies,Impact,1,,,,
Patchouli,1,"Royal Flare
[MAG] Cost 15 SP
All Enemies : [Fire 12]
This Skill has -1 ACC.   ",124,1244,"Royal Flare",MAG,15 SP,All Enemies,Fire,12,,,,
Patchouli,2,"Princess Undine
[MAG] Cost 14 SP
All Enemies : [Cold 11]
This Skill has -1 ACC.  ",124,1245,"Princess Undine",MAG,14 SP,All Enemies,Cold,11,,,,
Patchouli,3,"Djinn Gust
[MAG] Cost 13 SP
All Enemies : [Wind 10]
This Skill has -1 ACC.  ",124,1246,"Djinn Gust",MAG,13 SP,All Enemies,Wind,10,,,,
Patchouli,4,"Satellite Himawari
[MAG] Cost 12 SP
All Enemies : [Nature 9]
This Skill has -1 ACC.  ",124,1247,"Satellite Himawari",MAG,12 SP,All Enemies,Nature,9,,,,
